,matchday,date,home_team,final_result,away_team
7612,11,1973-10-17,Kickers Offenbach,2-1,VfB Stuttgart
7613,11,1973-10-17,Bayern München,4-2,MSV Duisburg
7614,11,1973-10-17,Fortuna Köln,0-2,1. FC Köln
7615,11,1973-10-17,Hamburger SV,5-0,VfL Bochum
7616,12,1973-10-19,Werder Bremen,2-1,FC Schalke 04
7617,12,1973-10-19,MSV Duisburg,1-3,Fortuna Köln
7618,12,1973-10-20,Hannover 96,1-1,Wuppertaler SV
7619,12,1973-10-20,1. FC Kaiserslautern,7-4,Bayern München
7620,12,1973-10-20,1. FC Köln,3-2,Rot-Weiss Essen
7621,12,1973-10-20,VfB Stuttgart,6-1,Bor. Mönchengladbach
7622,12,1973-10-20,Eintracht Frankfurt,2-0,Hertha BSC
7623,7,1973-10-23,Kickers Offenbach,5-2,Eintracht Frankfurt
7624,13,1973-10-27,Hertha BSC,2-2,1. FC Köln
7625,13,1973-10-27,Rot-Weiss Essen,4-2,MSV Duisburg
7626,13,1973-10-27,Wuppertaler SV,1-1,Eintracht Frankfurt
7627,13,1973-10-27,Bayern München,3-0,VfB Stuttgart
7628,13,1973-10-27,FC Schalke 04,3-1,Hannover 96
7629,13,1973-10-27,Fortuna Köln,3-3,1. FC Kaiserslautern
7630,13,1973-10-27,Werder Bremen,0-0,Fortuna Düsseldorf
7631,13,1973-10-27,Bor. Mönchengladbach,2-0,VfL Bochum
7632,13,1973-10-27,Kickers Offenbach,2-5,Hamburger SV
7633,14,1973-11-02,1. FC Köln,0-0,Wuppertaler SV
7634,14,1973-11-02,MSV Duisburg,1-1,Hertha BSC
7635,14,1973-11-03,1. FC Kaiserslautern,0-0,Rot-Weiss Essen
7636,14,1973-11-03,VfB Stuttgart,2-1,Fortuna Köln
7637,14,1973-11-03,VfL Bochum,0-1,Bayern München
7638,14,1973-11-03,Eintracht Frankfurt,2-1,FC Schalke 04
7639,14,1973-11-03,Fortuna Düsseldorf,3-3,Kickers Offenbach
7640,14,1973-11-03,Hamburger SV,1-0,Bor. Mönchengladbach
7641,14,1973-11-03,Hannover 96,0-1,Werder Bremen
7642,15,1973-11-10,Rot-Weiss Essen,3-3,VfB Stuttgart
7643,15,1973-11-10,Hertha BSC,3-1,1. FC Kaiserslautern
7644,15,1973-11-10,Werder Bremen,1-2,Eintracht Frankfurt
7645,15,1973-11-10,Bayern München,4-1,Hamburger SV
7646,15,1973-11-10,Fortuna Düsseldorf,2-0,Hannover 96
7647,15,1973-11-10,Wuppertaler SV,2-0,MSV Duisburg
7648,15,1973-11-10,FC Schalke 04,2-2,1. FC Köln
7649,15,1973-11-10,Fortuna Köln,2-2,VfL Bochum
7650,15,1973-11-10,Kickers Offenbach,2-3,Bor. Mönchengladbach
7651,16,1973-11-16,Eintracht Frankfurt,1-1,Hannover 96
7652,16,1973-11-16,MSV Duisburg,2-0,FC Schalke 04
7653,16,1973-11-17,VfB Stuttgart,2-0,Hertha BSC
7654,16,1973-11-17,Bor. Mönchengladbach,1-2,Fortuna Düsseldorf
7655,16,1973-11-17,Kickers Offenbach,2-2,Bayern München
7656,16,1973-11-17,1. FC Köln,2-0,Werder Bremen
7657,16,1973-11-17,Hamburger SV,4-0,Fortuna Köln
7658,16,1973-11-17,VfL Bochum,1-2,Rot-Weiss Essen
7659,16,1973-11-17,1. FC Kaiserslautern,4-0,Wuppertaler SV
7660,12,1973-11-24,VfL Bochum,4-1,Kickers Offenbach
7661,12,1973-11-24,Fortuna Düsseldorf,2-0,Hamburger SV
7662,17,1973-12-08,Wuppertaler SV,3-4,VfB Stuttgart
7663,17,1973-12-08,FC Schalke 04,3-3,1. FC Kaiserslautern
7664,17,1973-12-08,Rot-Weiss Essen,1-1,Hamburger SV
7665,17,1973-12-08,Fortuna Düsseldorf,1-0,Eintracht Frankfurt
7666,17,1973-12-08,Fortuna Köln,2-1,Kickers Offenbach
7667,17,1973-12-08,Bayern München,4-3,Bor. Mönchengladbach
7668,17,1973-12-08,Hannover 96,1-0,1. FC Köln
7669,17,1973-12-11,Hertha BSC,4-2,VfL Bochum
7670,17,1973-12-29,Werder Bremen,1-2,MSV Duisburg
7671,18,1974-01-05,Fortuna Düsseldorf,4-2,Bayern München
7672,18,1974-01-05,Eintracht Frankfurt,2-1,1. FC Köln
7673,18,1974-01-05,Rot-Weiss Essen,1-2,Kickers Offenbach
7674,18,1974-01-05,Werder Bremen,3-1,1. FC Kaiserslautern
7675,18,1974-01-05,Hertha BSC,2-1,Hamburger SV
7676,18,1974-01-05,FC Schalke 04,2-3,VfB Stuttgart
7677,18,1974-01-05,Wuppertaler SV,2-0,VfL Bochum
7678,18,1974-01-05,Hannover 96,2-2,MSV Duisburg
7679,18,1974-01-05,Fortuna Köln,3-5,Bor. Mönchengladbach
7680,19,1974-01-12,VfB Stuttgart,2-2,Werder Bremen
7681,19,1974-01-12,VfL Bochum,2-5,FC Schalke 04
7682,19,1974-01-12,Bayern München,5-1,Fortuna Köln
7683,19,1974-01-12,Bor. Mönchengladbach,2-2,Rot-Weiss Essen
7684,19,1974-01-12,Kickers Offenbach,1-1,Hertha BSC
7685,19,1974-01-12,Hamburger SV,2-1,Wuppertaler SV
7686,19,1974-01-12,1. FC Köln,4-2,Fortuna Düsseldorf
7687,19,1974-01-12,1. FC Kaiserslautern,2-1,Hannover 96
7688,19,1974-01-12,MSV Duisburg,1-1,Eintracht Frankfurt
7689,20,1974-01-19,Eintracht Frankfurt,3-1,1. FC Kaiserslautern
7690,20,1974-01-19,1. FC Köln,5-1,MSV Duisburg
7691,20,1974-01-19,Hannover 96,3-0,VfB Stuttgart
7692,20,1974-01-19,Rot-Weiss Essen,0-1,Bayern München
7693,20,1974-01-19,Hertha BSC,3-4,Bor. Mönchengladbach
7694,20,1974-01-19,FC Schalke 04,3-1,Hamburger SV
7695,20,1974-01-19,Werder Bremen,1-0,VfL Bochum
7696,20,1974-01-19,Fortuna Düsseldorf,5-1,Fortuna Köln
7697,21,1974-01-26,1. FC Kaiserslautern,1-2,1. FC Köln
7698,21,1974-01-26,VfB Stuttgart,3-1,Eintracht Frankfurt
7699,21,1974-01-26,VfL Bochum,3-1,Hannover 96
7700,21,1974-01-26,Kickers Offenbach,1-2,FC Schalke 04
7701,21,1974-01-26,MSV Duisburg,0-1,Fortuna Düsseldorf
7702,21,1974-01-26,Bor. Mönchengladbach,7-1,Wuppertaler SV
7703,21,1974-01-26,Fortuna Köln,1-3,Rot-Weiss Essen
7704,21,1974-01-26,Hamburger SV,3-0,Werder Bremen
7705,21,1974-01-26,Bayern München,3-1,Hertha BSC
7706,20,1974-01-30,Wuppertaler SV,1-1,Kickers Offenbach
7707,22,1974-02-02,Eintracht Frankfurt,3-1,VfL Bochum
7708,22,1974-02-02,Werder Bremen,0-2,Kickers Offenbach
7709,22,1974-02-02,MSV Duisburg,2-1,1. FC Kaiserslautern
7710,22,1974-02-02,FC Schalke 04,2-0,Bor. Mönchengladbach
7711,22,1974-02-02,1. FC Köln,5-2,VfB Stuttgart
7712,22,1974-02-02,Hertha BSC,1-1,Fortuna Köln
7713,22,1974-02-02,Fortuna Düsseldorf,3-0,Rot-Weiss Essen
7714,22,1974-02-02,Wuppertaler SV,1-4,Bayern München
7715,22,1974-02-02,Hannover 96,2-2,Hamburger SV
7716,23,1974-02-09,1. FC Kaiserslautern,3-2,Fortuna Düsseldorf
7717,23,1974-02-09,VfB Stuttgart,0-1,MSV Duisburg
7718,23,1974-02-09,Kickers Offenbach,2-1,Hannover 96
7719,23,1974-02-09,Bor. Mönchengladbach,3-1,Werder Bremen
7720,23,1974-02-09,Fortuna Köln,2-1,Wuppertaler SV
7721,23,1974-02-09,Bayern München,5-1,FC Schalke 04
7722,23,1974-02-09,VfL Bochum,0-2,1. FC Köln
7723,23,1974-02-09,Hamburger SV,4-2,Eintracht Frankfurt
7724,23,1974-02-23,Rot-Weiss Essen,3-2,Hertha BSC
7725,24,1974-03-01,Wuppertaler SV,2-0,Rot-Weiss Essen
7726,24,1974-03-02,MSV Duisburg,0-0,VfL Bochum
7727,24,1974-03-02,Hannover 96,0-2,Bor. Mönchengladbach
7728,24,1974-03-02,FC Schalke 04,6-1,Fortuna Köln
7729,24,1974-03-02,1. FC Kaiserslautern,4-0,VfB Stuttgart
7730,24,1974-03-02,Fortuna Düsseldorf,1-1,Hertha BSC
7731,24,1974-03-02,1. FC Köln,1-2,Hamburger SV
7732,24,1974-03-02,Werder Bremen,1-1,Bayern München
7733,24,1974-03-02,Eintracht Frankfurt,2-2,Kickers Offenbach
7734,25,1974-03-09,VfL Bochum,2-2,1. FC Kaiserslautern
7735,25,1974-03-09,Hamburger SV,2-0,MSV Duisburg
7736,25,1974-03-09,Rot-Weiss Essen,2-5,FC Schalke 04
7737,25,1974-03-09,Hertha BSC,3-0,Wuppertaler SV
7738,25,1974-03-09,Kickers Offenbach,1-2,1. FC Köln
7739,25,1974-03-09,Bayern München,5-1,Hannover 96
7740,25,1974-03-09,Bor. Mönchengladbach,0-0,Eintracht Frankfurt
7741,25,1974-03-09,Fortuna Köln,1-3,Werder Bremen
7742,25,1974-03-09,VfB Stuttgart,0-0,Fortuna Düsseldorf
7743,26,1974-03-15,Fortuna Düsseldorf,2-0,Wuppertaler SV
7744,26,1974-03-16,Werder Bremen,1-1,Rot-Weiss Essen
7745,26,1974-03-16,1. FC Köln,0-1,Bor. Mönchengladbach
7746,26,1974-03-16,VfB Stuttgart,2-0,VfL Bochum
7747,26,1974-03-16,FC Schalke 04,3-0,Hertha BSC
7748,26,1974-03-16,MSV Duisburg,4-0,Kickers Offenbach
7749,26,1974-03-16,Hannover 96,1-1,Fortuna Köln
7750,26,1974-03-16,Eintracht Frankfurt,1-1,Bayern München
7751,26,1974-03-16,1. FC Kaiserslautern,1-4,Hamburger SV
7752,27,1974-03-23,Fortuna Köln,3-2,Eintracht Frankfurt
7753,27,1974-03-23,Bayern München,4-1,1. FC Köln
7754,27,1974-03-23,Rot-Weiss Essen,1-1,Hannover 96
7755,27,1974-03-23,Kickers Offenbach,2-3,1. FC Kaiserslautern
7756,27,1974-03-23,Wuppertaler SV,1-1,FC Schalke 04
7757,27,1974-03-23,Bor. Mönchengladbach,3-2,MSV Duisburg
7758,27,1974-03-23,VfL Bochum,3-3,Fortuna Düsseldorf
7759,27,1974-03-23,Hamburger SV,1-0,VfB Stuttgart
7760,27,1974-03-23,Hertha BSC,0-0,Werder Bremen
7761,28,1974-03-30,Eintracht Frankfurt,6-0,Rot-Weiss Essen
7762,28,1974-03-30,Werder Bremen,3-0,Wuppertaler SV
7763,28,1974-03-30,Fortuna Düsseldorf,0-1,FC Schalke 04
7764,28,1974-03-30,1. FC Kaiserslautern,2-4,Bor. Mönchengladbach
7765,28,1974-03-30,VfB Stuttgart,4-0,Kickers Offenbach
7766,28,1974-03-30,VfL Bochum,2-0,Hamburger SV
7767,28,1974-03-30,1. FC Köln,5-0,Fortuna Köln
7768,28,1974-03-30,MSV Duisburg,0-4,Bayern München
7769,28,1974-03-30,Hannover 96,3-1,Hertha BSC
7770,29,1974-04-06,Fortuna Köln,3-0,MSV Duisburg
7771,29,1974-04-06,Wuppertaler SV,2-1,Hannover 96
7772,29,1974-04-06,Rot-Weiss Essen,1-1,1. FC Köln
7773,29,1974-04-06,Bor. Mönchengladbach,3-1,VfB Stuttgart
7774,29,1974-04-06,FC Schalke 04,4-2,Werder Bremen
7775,29,1974-04-06,Hertha BSC,2-1,Eintracht Frankfurt
7776,29,1974-04-06,Bayern München,1-1,1. FC Kaiserslautern
7777,29,1974-04-06,Hamburger SV,1-3,Fortuna Düsseldorf
7778,29,1974-04-06,Kickers Offenbach,2-2,VfL Bochum
7779,30,1974-04-19,MSV Duisburg,1-0,Rot-Weiss Essen
7780,30,1974-04-20,Eintracht Frankfurt,1-0,Wuppertaler SV
7781,30,1974-04-20,VfB Stuttgart,1-1,Bayern München
7782,30,1974-04-20,Hannover 96,0-1,FC Schalke 04
7783,30,1974-04-20,Hamburger SV,0-0,Kickers Offenbach
7784,30,1974-04-20,Fortuna Düsseldorf,1-1,Werder Bremen
7785,30,1974-04-20,VfL Bochum,1-1,Bor. Mönchengladbach
7786,30,1974-04-20,1. FC Köln,3-4,Hertha BSC
7787,30,1974-04-20,1. FC Kaiserslautern,2-1,Fortuna Köln
7788,31,1974-04-23,Hertha BSC,2-4,MSV Duisburg
7789,31,1974-04-23,FC Schalke 04,3-1,Eintracht Frankfurt
7790,31,1974-04-27,Rot-Weiss Essen,3-3,1. FC Kaiserslautern
7791,31,1974-04-27,Bayern München,4-0,VfL Bochum
7792,31,1974-04-27,Wuppertaler SV,1-3,1. FC Köln
7793,31,1974-04-27,Kickers Offenbach,3-0,Fortuna Düsseldorf
7794,31,1974-04-27,Bor. Mönchengladbach,6-1,Hamburger SV
7795,31,1974-04-27,Fortuna Köln,1-0,VfB Stuttgart
7796,31,1974-04-27,Werder Bremen,3-3,Hannover 96
7797,32,1974-05-04,Eintracht Frankfurt,1-1,Werder Bremen
7798,32,1974-05-04,Hamburger SV,0-5,Bayern München
7799,32,1974-05-04,Hannover 96,1-2,Fortuna Düsseldorf
7800,32,1974-05-04,Bor. Mönchengladbach,5-1,Kickers Offenbach
7801,32,1974-05-04,1. FC Köln,3-1,FC Schalke 04
7802,32,1974-05-04,VfL Bochum,2-0,Fortuna Köln
7803,32,1974-05-04,MSV Duisburg,0-0,Wuppertaler SV
7804,32,1974-05-04,VfB Stuttgart,0-3,Rot-Weiss Essen
7805,32,1974-05-04,1. FC Kaiserslautern,3-1,Hertha BSC
7806,33,1974-05-11,Hannover 96,0-0,Eintracht Frankfurt
7807,33,1974-05-11,FC Schalke 04,0-1,MSV Duisburg
7808,33,1974-05-11,Bayern München,1-0,Kickers Offenbach
7809,33,1974-05-11,Werder Bremen,4-2,1. FC Köln
7810,33,1974-05-11,Fortuna Düsseldorf,1-0,Bor. Mönchengladbach
7811,33,1974-05-11,Rot-Weiss Essen,2-2,VfL Bochum
7812,33,1974-05-11,Wuppertaler SV,2-4,1. FC Kaiserslautern
7813,33,1974-05-11,Hertha BSC,1-0,VfB Stuttgart
7814,33,1974-05-11,Fortuna Köln,3-0,Hamburger SV
7815,34,1974-05-18,VfB Stuttgart,2-2,Wuppertaler SV
7816,34,1974-05-18,1. FC Kaiserslautern,4-0,FC Schalke 04
7817,34,1974-05-18,Hamburger SV,2-3,Rot-Weiss Essen
7818,34,1974-05-18,1. FC Köln,2-1,Hannover 96
7819,34,1974-05-18,Kickers Offenbach,4-0,Fortuna Köln
7820,34,1974-05-18,Bor. Mönchengladbach,5-0,Bayern München
7821,34,1974-05-18,Eintracht Frankfurt,2-1,Fortuna Düsseldorf
7822,34,1974-05-18,VfL Bochum,2-1,Hertha BSC
7823,34,1974-05-18,MSV Duisburg,3-1,Werder Bremen
7824,1,1972-09-16,Bor. Mönchengladbach,4-3,MSV Duisburg
7825,1,1972-09-16,Rot-Weiß Oberhausen,0-5,Bayern München
7826,1,1972-09-16,Eintracht Frankfurt,2-1,Hamburger SV
7827,1,1972-09-16,Eintracht Braunschweig,0-2,VfL Bochum
7828,1,1972-09-16,FC Schalke 04,3-1,Hannover 96
7829,1,1972-09-16,Hertha BSC,2-3,Fortuna Düsseldorf
7830,1,1972-09-16,Wuppertaler SV,2-0,1. FC Kaiserslautern
7831,1,1972-09-16,VfB Stuttgart,3-1,1. FC Köln
7832,1,1972-09-16,Werder Bremen,0-0,Kickers Offenbach
7833,2,1972-09-20,VfL Bochum,2-1,Hertha BSC
7834,2,1972-09-20,1. FC Köln,3-1,Rot-Weiß Oberhausen
7835,2,1972-09-20,Bayern München,2-1,Werder Bremen
7836,2,1972-09-20,1. FC Kaiserslautern,2-0,FC Schalke 04
7837,2,1972-09-20,MSV Duisburg,0-1,VfB Stuttgart
7838,2,1972-09-20,Kickers Offenbach,1-0,Eintracht Braunschweig
7839,2,1972-09-20,Hannover 96,2-1,Eintracht Frankfurt
7840,2,1972-09-20,Fortuna Düsseldorf,2-1,Wuppertaler SV
7841,2,1972-09-20,Hamburger SV,1-3,Bor. Mönchengladbach
7842,3,1972-09-23,Eintracht Frankfurt,3-1,1. FC Kaiserslautern
7843,3,1972-09-23,Wuppertaler SV,3-0,VfL Bochum
7844,3,1972-09-23,FC Schalke 04,3-1,Fortuna Düsseldorf
7845,3,1972-09-23,Bor. Mönchengladbach,3-1,Hannover 96
7846,3,1972-09-23,MSV Duisburg,1-1,1. FC Köln
7847,3,1972-09-23,Hertha BSC,2-5,Kickers Offenbach
7848,3,1972-09-23,Eintracht Braunschweig,0-2,Bayern München
7849,3,1972-09-23,VfB Stuttgart,2-1,Hamburger SV
7850,3,1972-09-23,Werder Bremen,1-0,Rot-Weiß Oberhausen
7851,4,1972-09-29,Rot-Weiß Oberhausen,0-1,Eintracht Braunschweig
7852,4,1972-09-30,Fortuna Düsseldorf,2-2,Eintracht Frankfurt
7853,4,1972-09-30,1. FC Köln,1-0,Werder Bremen
7854,4,1972-09-30,VfL Bochum,2-0,FC Schalke 04
7855,4,1972-09-30,Kickers Offenbach,3-1,Wuppertaler SV
7856,4,1972-09-30,1. FC Kaiserslautern,3-1,Bor. Mönchengladbach
7857,4,1972-09-30,Hannover 96,3-1,VfB Stuttgart
7858,4,1972-09-30,Bayern München,4-0,Hertha BSC
7859,4,1972-09-30,Hamburger SV,1-2,MSV Duisburg
7860,5,1972-10-03,Eintracht Frankfurt,4-1,VfL Bochum
7861,5,1972-10-04,VfB Stuttgart,3-1,1. FC Kaiserslautern
7862,5,1972-10-04,Wuppertaler SV,1-1,Bayern München
7863,5,1972-10-04,Bor. Mönchengladbach,2-3,Fortuna Düsseldorf
7864,5,1972-10-04,Hamburger SV,0-0,1. FC Köln
7865,5,1972-10-04,MSV Duisburg,3-1,Hannover 96
7866,5,1972-10-04,Eintracht Braunschweig,1-0,Werder Bremen
7867,5,1972-10-04,FC Schalke 04,6-1,Kickers Offenbach
7868,5,1972-10-04,Hertha BSC,3-1,Rot-Weiß Oberhausen
7869,6,1972-10-07,1. FC Köln,4-3,Eintracht Braunschweig
7870,6,1972-10-07,Werder Bremen,1-1,Hertha BSC
7871,6,1972-10-07,1. FC Kaiserslautern,0-0,MSV Duisburg
7872,6,1972-10-07,Rot-Weiß Oberhausen,2-1,Wuppertaler SV
7873,6,1972-10-07,VfL Bochum,3-0,Bor. Mönchengladbach
7874,6,1972-10-07,Kickers Offenbach,3-2,Eintracht Frankfurt
7875,6,1972-10-07,Fortuna Düsseldorf,6-1,VfB Stuttgart
7876,6,1972-10-07,Bayern München,5-0,FC Schalke 04
7877,6,1972-10-07,Hannover 96,3-2,Hamburger SV
7878,7,1972-10-14,Eintracht Frankfurt,2-1,Bayern München
7879,7,1972-10-14,MSV Duisburg,0-0,Fortuna Düsseldorf
7880,7,1972-10-14,VfB Stuttgart,4-0,VfL Bochum
7881,7,1972-10-14,Bor. Mönchengladbach,3-2,Kickers Offenbach
7882,7,1972-10-14,FC Schalke 04,3-0,Rot-Weiß Oberhausen
7883,7,1972-10-14,Wuppertaler SV,1-1,Werder Bremen
7884,7,1972-10-14,Hamburger SV,2-2,1. FC Kaiserslautern
7885,7,1972-10-14,Hertha BSC,3-0,Eintracht Braunschweig
7886,7,1972-10-14,Hannover 96,0-0,1. FC Köln
7887,8,1972-10-21,Kickers Offenbach,1-3,VfB Stuttgart
7888,8,1972-10-21,Rot-Weiß Oberhausen,1-0,Eintracht Frankfurt
7889,8,1972-10-21,Bayern München,3-0,Bor. Mönchengladbach
7890,8,1972-10-21,VfL Bochum,2-1,MSV Duisburg
7891,8,1972-10-21,Werder Bremen,2-0,FC Schalke 04
7892,8,1972-10-21,1. FC Kaiserslautern,2-1,Hannover 96
7893,8,1972-10-21,1. FC Köln,4-0,Hertha BSC
7894,8,1972-10-21,Fortuna Düsseldorf,2-2,Hamburger SV
7895,8,1972-10-21,Eintracht Braunschweig,0-1,Wuppertaler SV
7896,9,1972-10-27,MSV Duisburg,4-0,Kickers Offenbach
7897,9,1972-10-28,FC Schalke 04,0-1,Eintracht Braunschweig
7898,9,1972-10-28,Bor. Mönchengladbach,4-1,Rot-Weiß Oberhausen
7899,9,1972-10-28,Hannover 96,2-2,Fortuna Düsseldorf
7900,9,1972-10-28,1. FC Kaiserslautern,2-1,1. FC Köln
7901,9,1972-10-28,Hamburger SV,2-1,VfL Bochum
7902,9,1972-10-28,Eintracht Frankfurt,2-2,Werder Bremen
7903,9,1972-10-28,Wuppertaler SV,4-1,Hertha BSC
7904,9,1972-10-28,VfB Stuttgart,0-1,Bayern München
7905,10,1972-10-31,1. FC Köln,1-1,Wuppertaler SV
7906,10,1972-10-31,Rot-Weiß Oberhausen,2-2,VfB Stuttgart
7907,10,1972-10-31,Kickers Offenbach,2-1,Hamburger SV
7908,10,1972-10-31,VfL Bochum,2-0,Hannover 96
7909,10,1972-10-31,Bayern München,2-0,MSV Duisburg
7910,10,1972-10-31,Fortuna Düsseldorf,2-1,1. FC Kaiserslautern
7911,10,1972-11-01,Hertha BSC,3-0,FC Schalke 04
7912,11,1972-11-04,MSV Duisburg,4-1,Rot-Weiß Oberhausen
7913,11,1972-11-04,Hamburger SV,0-2,Bayern München
7914,11,1972-11-04,Bor. Mönchengladbach,4-0,Eintracht Braunschweig
7915,11,1972-11-04,Fortuna Düsseldorf,3-2,1. FC Köln
7916,11,1972-11-04,FC Schalke 04,1-2,Wuppertaler SV
7917,11,1972-11-04,VfB Stuttgart,2-1,Werder Bremen
7918,11,1972-11-04,Eintracht Frankfurt,2-2,Hertha BSC
7919,11,1972-11-04,Hannover 96,1-1,Kickers Offenbach
7920,11,1972-11-04,1. FC Kaiserslautern,2-2,VfL Bochum
7921,12,1972-11-11,1. FC Köln,3-0,FC Schalke 04
7922,12,1972-11-11,VfL Bochum,2-2,Fortuna Düsseldorf
7923,12,1972-11-11,Werder Bremen,0-2,MSV Duisburg
7924,12,1972-11-11,Hertha BSC,3-1,Bor. Mönchengladbach
7925,12,1972-11-11,Kickers Offenbach,2-2,1. FC Kaiserslautern
7926,12,1972-11-11,Bayern München,7-2,Hannover 96
7927,12,1972-11-11,Wuppertaler SV,1-0,Eintracht Frankfurt
7928,12,1972-11-11,Rot-Weiß Oberhausen,3-1,Hamburger SV
7929,12,1972-11-11,Eintracht Braunschweig,1-0,VfB Stuttgart
7930,13,1972-11-17,VfL Bochum,2-4,1. FC Köln
7931,13,1972-11-18,VfB Stuttgart,4-0,Hertha BSC
7932,13,1972-11-18,Bor. Mönchengladbach,2-1,Wuppertaler SV
7933,13,1972-11-18,Fortuna Düsseldorf,2-0,Kickers Offenbach
7934,13,1972-11-18,Eintracht Frankfurt,4-2,FC Schalke 04
7935,13,1972-11-18,Hannover 96,3-2,Rot-Weiß Oberhausen
7936,13,1972-11-18,Hamburger SV,2-2,Werder Bremen
7937,13,1972-11-18,1. FC Kaiserslautern,3-1,Bayern München
7938,13,1972-11-18,MSV Duisburg,3-2,Eintracht Braunschweig
7939,14,1972-11-21,1. FC Köln,3-1,Eintracht Frankfurt
7940,14,1972-11-21,Bayern München,3-2,Fortuna Düsseldorf
7941,14,1972-11-21,Wuppertaler SV,4-0,VfB Stuttgart
7942,14,1972-11-21,Hertha BSC,0-0,MSV Duisburg
7943,14,1972-11-21,FC Schalke 04,2-2,Bor. Mönchengladbach
7944,14,1972-11-22,Eintracht Braunschweig,1-1,Hamburger SV
7945,14,1972-11-22,Kickers Offenbach,4-0,VfL Bochum
7946,14,1972-11-22,Werder Bremen,3-1,Hannover 96
7947,15,1972-11-25,VfB Stuttgart,6-2,FC Schalke 04
7948,15,1972-11-25,VfL Bochum,0-2,Bayern München
7949,15,1972-11-25,1. FC Köln,1-1,Kickers Offenbach
7950,15,1972-11-25,Hamburger SV,4-0,Hertha BSC
7951,15,1972-11-25,Fortuna Düsseldorf,3-1,Rot-Weiß Oberhausen
7952,15,1972-11-25,MSV Duisburg,0-0,Wuppertaler SV
7953,15,1972-11-25,Hannover 96,2-1,Eintracht Braunschweig
7954,15,1972-11-25,Eintracht Frankfurt,3-0,Bor. Mönchengladbach
7955,15,1972-11-25,1. FC Kaiserslautern,3-1,Werder Bremen
7956,10,1972-11-28,Eintracht Braunschweig,2-1,Eintracht Frankfurt
7957,16,1972-12-01,Rot-Weiß Oberhausen,1-1,VfL Bochum
7958,16,1972-12-02,Wuppertaler SV,5-1,Hamburger SV
7959,16,1972-12-02,FC Schalke 04,1-1,MSV Duisburg
7960,16,1972-12-02,Bor. Mönchengladbach,5-2,1. FC Köln
7961,16,1972-12-02,Bayern München,3-1,Kickers Offenbach
7962,16,1972-12-02,Eintracht Frankfurt,2-1,VfB Stuttgart
7963,16,1972-12-02,Werder Bremen,1-3,Fortuna Düsseldorf
7964,16,1972-12-02,Hertha BSC,2-1,Hannover 96
7965,16,1972-12-02,Eintracht Braunschweig,0-0,1. FC Kaiserslautern
7966,10,1972-12-06,Werder Bremen,1-1,Bor. Mönchengladbach
7967,17,1972-12-15,VfL Bochum,2-0,Werder Bremen
7968,17,1972-12-16,MSV Duisburg,2-1,Eintracht Frankfurt
7969,17,1972-12-16,VfB Stuttgart,3-0,Bor. Mönchengladbach
7970,17,1972-12-16,Kickers Offenbach,4-0,Rot-Weiß Oberhausen
7971,17,1972-12-16,1. FC Köln,2-1,Bayern München
7972,17,1972-12-16,1. FC Kaiserslautern,2-2,Hertha BSC
7973,17,1972-12-16,Hamburger SV,0-1,FC Schalke 04
7974,17,1972-12-16,Fortuna Düsseldorf,2-0,Eintracht Braunschweig
7975,17,1972-12-16,Hannover 96,1-1,Wuppertaler SV
7976,14,1972-12-23,Rot-Weiß Oberhausen,3-1,1. FC Kaiserslautern
7977,18,1973-01-20,Kickers Offenbach,2-1,Werder Bremen
7978,18,1973-01-20,Bayern München,5-3,Rot-Weiß Oberhausen
7979,18,1973-01-20,Hamburger SV,3-1,Eintracht Frankfurt
7980,18,1973-01-20,VfL Bochum,2-2,Eintracht Braunschweig
7981,18,1973-01-20,Hannover 96,1-0,FC Schalke 04
7982,18,1973-01-20,Fortuna Düsseldorf,3-1,Hertha BSC
7983,18,1973-01-20,1. FC Kaiserslautern,1-1,Wuppertaler SV
7984,18,1973-01-20,1. FC Köln,5-1,VfB Stuttgart
7985,18,1973-01-20,MSV Duisburg,2-2,Bor. Mönchengladbach
7986,19,1973-01-27,Werder Bremen,1-0,Bayern München
7987,19,1973-01-27,Rot-Weiß Oberhausen,2-2,1. FC Köln
7988,19,1973-01-27,FC Schalke 04,2-2,1. FC Kaiserslautern
7989,19,1973-01-27,VfB Stuttgart,3-4,MSV Duisburg
7990,19,1973-01-27,Eintracht Braunschweig,2-2,Kickers Offenbach
7991,19,1973-01-27,Bor. Mönchengladbach,6-1,Hamburger SV
7992,20,1973-02-02,1. FC Köln,3-1,MSV Duisburg
7993,20,1973-02-03,Bayern München,3-0,Eintracht Braunschweig
7994,20,1973-02-03,Kickers Offenbach,0-0,Hertha BSC
7995,20,1973-02-03,Hamburger SV,2-0,VfB Stuttgart
7996,20,1973-02-03,1. FC Kaiserslautern,0-1,Eintracht Frankfurt
7997,20,1973-02-03,Rot-Weiß Oberhausen,2-3,Werder Bremen
7998,20,1973-02-03,Fortuna Düsseldorf,1-1,FC Schalke 04
7999,20,1973-02-03,Hannover 96,1-2,Bor. Mönchengladbach
8000,20,1973-02-03,VfL Bochum,2-2,Wuppertaler SV
8001,21,1973-02-10,VfB Stuttgart,2-0,Hannover 96
8002,21,1973-02-10,Hertha BSC,2-5,Bayern München
8003,21,1973-02-10,MSV Duisburg,3-0,Hamburger SV
8004,21,1973-02-10,Eintracht Braunschweig,3-1,Rot-Weiß Oberhausen
