matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_form,away_form,home_goals_last_5,home_conceded_last_5,away_goals_last_5,away_conceded_last_5,home_goal_diff_last_5,away_goal_diff_last_5,goal_diff_last_5,home_h2h_wins,away_h2h_wins,h2h_draws,home_h2h_goals_scored,away_h2h_goals_scored,home_off,home_def,away_off,away_def,home_goals_exp,away_goals_exp
10,1963-11-09,1,1-3,53,1,3,2,3,1,1,3,1,1,10,10,3,3,8,1,0,7,-7,8,7,4,31,33,-2.9551430942462447,-1.2067654121965656,-0.1251785980116202,-3.0851510293476343,2.6849084355368285,1.7426347719923023
10,1963-11-09,49,7-1,4,7,1,0,2,1,2,0,0,5,7,0,0,0,4,6,0,-2,2,0,0,0,0,0,-0.6330661654102543,-0.9982115306311288,-1.385389709306288,0.4175824850427722,2.8869189632694745,1.6810240821788176
10,1963-11-09,55,2-2,30,2,2,1,2,2,1,0,0,5,8,0,6,4,6,6,2,0,2,4,1,3,14,11,-0.6921163250785237,-0.0861502292074303,-0.690370068923673,3.2767843446889184,2.9823857929093496,1.7755938350338674
11,1963-11-16,13,9-3,1,9,3,0,4,0,1,3,1,1,12,10,5,6,2,2,-1,0,-1,9,13,4,43,45,-2.2460630156066843,-0.8510802514465201,-0.5467574593965837,2.36915980761404,2.8985300201268585,1.7387434874974672
11,1963-11-16,2,4-1,27,4,1,0,2,2,1,3,0,2,8,9,4,4,1,2,0,-1,1,9,9,6,32,34,-3.2447059419201505,2.0501217211222613,-3.0303151123108654,-3.523179508821424,2.6594471010496066,1.763475059645652
11,1963-11-16,16,0-0,34,0,0,1,2,2,1,3,2,0,8,11,3,11,6,7,-8,-1,-7,3,1,2,8,3,-1.2324413387280564,-0.0198198362202605,-2.9166216297643306,-3.9070895571445377,2.716375821731273,1.6490713377660466
11,1963-11-16,52,1-0,3,1,0,0,4,1,0,0,0,5,13,0,18,5,2,8,13,-6,19,7,1,3,21,8,1.6291821115435328,-1.1995098996463691,-1.120033312007536,-3.895322024800591,2.816246877601332,1.6847462044760078
11,1963-11-16,49,1-0,32,1,0,0,2,1,2,3,0,2,7,9,0,0,5,9,0,-4,4,0,0,2,3,3,-2.777869298388888,-1.1464815921378608,1.7433760032453829,-2.895647104476242,2.697729184985092,1.8582606948512257
11,1963-11-16,55,4-1,18,4,1,0,2,2,1,3,1,1,8,10,6,4,8,5,2,3,-1,4,7,4,22,27,0.9635737114966566,-0.2522443727486999,-1.3102647231894993,-3.4784903351580425,2.8076358137679813,1.7290367816185812
11,1963-11-16,4,1-1,35,1,1,1,0,0,5,0,2,3,0,2,4,2,0,0,2,0,2,0,0,0,0,0,1.9111501254106256,-0.5945224334757657,1.903121755708233,-5.442002022844755,2.772395763546261,1.90171158203236
11,1963-11-16,22,1-0,30,1,0,0,1,1,3,0,1,4,4,1,8,15,6,8,-7,-2,-5,8,2,3,19,5,-3.3861193548526085,-1.704508019706436,0.4849474265282686,-0.1254173477810014,2.7730668242736214,1.7492807818024512
12,1963-11-23,33,3-3,14,3,3,1,2,3,0,4,0,1,9,12,5,8,12,9,-3,3,-6,1,0,5,7,6,-3.881864734563836,-0.8351110518328927,-1.8105759708331477,-4.629450182509043,2.598312217981904,1.6658379284303837
12,1963-11-23,3,2-2,2,2,2,1,0,0,5,2,2,1,0,8,2,6,1,10,-4,-9,5,7,7,1,22,25,-4.292483077751902,2.0264417183545085,-1.0146254626636395,-1.2941453784770682,2.7007648541343907,1.883543993483735
12,1963-11-23,26,1-1,53,1,1,1,2,0,3,4,1,0,6,13,3,7,5,2,-4,3,-7,14,3,4,42,25,-4.827588356322022,0.645982543845468,-1.821222858574943,4.217650949854623,2.873370259868155,1.7519049636224366
12,1963-11-23,17,5-2,50,5,2,0,3,1,1,3,1,1,10,10,7,4,4,7,3,-3,6,4,1,0,13,9,-2.3404196135945656,-0.5886059102156469,1.737376843540682,-1.975725550186731,2.7450800380473543,1.8919192059887664
12,1963-11-23,34,2-2,23,2,2,1,0,2,3,2,1,2,2,7,0,0,2,8,0,-6,6,0,0,0,0,0,-3.944049694010837,1.1913623685144952,0.4962245537371001,-8.811130538096068,2.449151019252124,1.925008893656716
12,1963-11-23,1,2-1,17,2,1,0,3,0,2,1,3,1,9,6,1,2,0,0,-1,0,-1,6,8,8,30,38,2.521775326573255,-1.4127102537036196,0.6794940434466092,-4.641835022393517,2.821299705839373,1.7781752993820097
12,1963-11-23,29,3-2,4,3,2,0,0,1,4,0,1,4,1,1,7,7,4,8,0,-4,4,0,0,0,0,0,-0.0806449797110897,-1.1587213425239655,-0.0560097078115344,-3.806723883387334,2.760002391333696,1.7495666485318846
12,1963-11-23,31,1-1,56,1,1,1,2,0,3,3,2,0,6,11,3,7,6,12,-4,-6,2,4,2,1,18,14,-0.983641186957734,-0.6442506128294087,-3.147377421115136,-2.191270441221821,2.7847555870950496,1.6002601488860615
13,1963-11-30,22,2-1,50,2,1,0,2,1,2,2,1,2,7,7,6,15,4,10,-9,-6,-3,4,0,2,7,1,-3.290279316822831,-1.3650212960118284,-2.8915569842786217,-0.1446099547991539,2.7757293643654046,1.5740459311048185
13,1963-11-30,13,2-3,2,2,3,2,3,1,1,2,3,0,10,9,5,6,1,7,-1,-6,5,20,10,4,68,39,5.336413772699809,-0.2698882934643047,0.5442164102661216,-9.2261003889101,2.7599217777937706,1.838701406028522
13,1963-11-30,17,3-0,35,3,0,0,3,1,1,0,3,2,10,3,7,6,0,0,1,0,1,0,0,0,0,0,0.2347721657996673,-0.5260947617144365,-3.518914191757323,-5.056339818917012,2.7274676410146808,1.5859456293646912
13,1963-11-30,52,5-0,17,5,0,0,3,2,0,0,3,2,11,3,15,6,0,0,9,0,9,5,2,3,20,8,-4.361329260107805,-2.2215636973852173,-2.236690478152633,-5.1822298071653,2.5620553623437083,1.5627477685427626
13,1963-11-30,55,0-3,4,0,3,2,2,3,0,0,1,4,9,1,4,5,3,7,-1,-4,3,0,0,1,1,1,-0.5264312796962681,-0.2116735534175018,-1.6624501457563037,4.334643948019534,3.0236640847820446,1.7107386918703915
13,1963-11-30,29,2-3,32,2,3,2,1,1,3,2,1,2,4,7,7,7,5,11,0,-6,6,1,0,2,5,3,-4.75794034577563,0.7193149376483456,-2.1982158069143667,-5.573349377593056,2.534368476720889,1.733961959516028
